Location,Address,Full Address,City,City Name,Latitude,Latitude Value,Longitude,Longitude Value,Labels,Label 1,Label 2,Label 3,Label 4,Full Labels,Coupon,Coupon String
Location,Address,16 Kneeland St #18,City, Boston,Latitude,42.35092,Longitude,-71.062282,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,1420 Boylston St,City, Boston,Latitude,42.343555,Longitude,-71.101409,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,457 Brookline Ave,City, Boston,Latitude,42.337694,Longitude,-71.108885,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,350 Longwood Ave,City, Boston,Latitude,42.338558,Longitude,-71.107245,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,10 Winthrop Sq,City, Boston,Latitude,42.354965,Longitude,-71.057861,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,330 Congress St,City, Boston,Latitude,42.351129,Longitude,-71.04941,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,616 Massachusetts Ave,City, Boston,Latitude,42.336986,Longitude,-71.077304,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,75 Old Colony Ave,City, South Boston,Latitude,42.335749,Longitude,-71.05599,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,Fleet Center Train Deck,City, Boston,Latitude,42.364446,Longitude,-71.062972,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,127 Tremont St,City, Boston,Latitude,42.356397,Longitude,-71.061952,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,265 Franklin St,City, Boston,Latitude,42.356547,Longitude,-71.053354,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,101 Summer St.,City, Boston,Latitude,42.35354,Longitude,-71.057967,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,300 Terminal Dr,City, East Boston,Latitude,42.366642,Longitude,-71.01636,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,630 Washington St.,City, Boston,Latitude,42.352339,Longitude,-71.062559,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
